UID          PID    PPID  C STIME TTY          TIME CMD
student     1778    1412  0 15:50 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
student     1788    1431  0 15:50 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
student     1799    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-a11y-settings
student     1801    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-color
student     1808    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-datetime
student     1809    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-housekeeping
student     1813    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-keyboard
student     1814    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-media-keys
student     1816    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-power
student     1818    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-print-notifications
student     1819    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-rfkill
student     1822    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
student     1826    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-sharing
student     1841    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-smartcard
student     1843    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-sound
student     1852    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-usb-protection
student     1853    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-wacom
student     1854    1666  0 15:50 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
student     1856    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-wwan
student     1861    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-xsettings
student     1873    1666  0 15:50 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
student     1875    1701  0 15:50 ?        00:00:00 /usr/libexec/ibus-engine-simple
student     1912    1412  0 15:50 ?        00:00:00 /usr/libexec/gsd-printer
student     2004    1412  0 15:50 ?        00:00:02 /usr/libexec/gnome-terminal-server
student     2048    1666  0 15:51 ?        00:00:00 update-notifier
root        2267       1  0 15:53 ?        00:00:00 /usr/libexec/fwupd/fwupd
root        2296       1  0 15:53 ?        00:00:00 /usr/sbin/cupsd -l
root        2298       1  0 15:53 ?        00:00:00 /usr/sbin/cups-browsed
root        2748       2  0 16:06 ?        00:00:00 [kworker/0:0-events]
student     3165    1680  0 16:08 ?        00:00:03 gnome-control-center
student     3187    1412  0 16:09 ?        00:00:02 /usr/bin/nautilus --gapplication-service
root        3221       2  0 16:13 ?        00:00:00 [kworker/u2:0-ext4-rsv-conversion]
student     3233    1412  2 16:17 ?        00:00:03 /usr/bin/gedit --gapplication-service
student     3249    2004  0 16:17 pts/1    00:00:00 vim /home/student/proj_tools/run-attack.sh
student     3259    2004  0 16:18 pts/0    00:00:00 bash
student     3260    3259  0 16:18 pts/0    00:00:00 ssh student@localhost
root        3261     910  0 16:18 ?        00:00:00 sshd: student [priv]
student     3264    1423  0 16:18 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
student     3344    3261  0 16:19 ?        00:00:00 sshd: student@pts/2
student     3345    3344  0 16:19 pts/2    00:00:00 -bash
root        3352       2  0 16:19 ?        00:00:00 [kworker/u2:1-events_unbound]
root        3382    3345  0 16:19 pts/2    00:00:00 sudo ./audit-ctl.sh start
root        3383    3382  0 16:19 pts/2    00:00:00 /bin/bash ./audit-ctl.sh start
root        3386    3383  0 16:19 pts/2    00:00:00 sudo bash /home/student/proj_tools/audit/config.sh
root        3387    3386  0 16:19 pts/2    00:00:00 bash /home/student/proj_tools/audit/config.sh
root        3396    3387  0 16:19 pts/2    00:00:00 ps -ef
